property	kind	url	experimental	unstable	obsolete	deprecated
onuserproximity	property	/en-US/docs/Web/API/Window/onuserproximity	true	false	false	false
onvrdisplayactivate	property	/en-US/docs/Web/API/Window/onvrdisplayactivate	true	false	false	false
onvrdisplayblur	property	/en-US/docs/Web/API/Window/onvrdisplayblur	true	false	false	false
onvrdisplayconnect	property	/en-US/docs/Web/API/Window/onvrdisplayconnect	true	false	false	false
onvrdisplaydeactivate	property	/en-US/docs/Web/API/Window/onvrdisplaydeactivate	true	false	false	false
onvrdisplaydisconnect	property	/en-US/docs/Web/API/Window/onvrdisplaydisconnect	true	false	false	false
onvrdisplayfocus	property	/en-US/docs/Web/API/Window/onvrdisplayfocus	true	false	false	false
onvrdisplaypointerrestricted	property	/en-US/docs/Web/API/Window/onvrdisplaypointerrestricted	true	false	false	false
onvrdisplaypointerunrestricted	property	/en-US/docs/Web/API/Window/onvrdisplaypointerunrestricted	true	false	false	false
onvrdisplaypresentchange	property	/en-US/docs/Web/API/Window/onvrdisplaypresentchange	true	false	false	false
onwheel	property	/en-US/docs/Web/API/GlobalEventHandlers/onwheel	false	false	false	false
opener	property	/en-US/docs/Web/API/Window/opener	false	false	false	false
origin	property	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/origin	false	false	false	false
outerHeight	property	/en-US/docs/Web/API/Window/outerHeight	false	false	false	false
outerWidth	property	/en-US/docs/Web/API/Window/outerWidth	false	false	false	false
pageXOffset	property	/en-US/docs/Web/API/Window/pageXOffset	false	false	false	false
pageYOffset	property	/en-US/docs/Web/API/Window/pageYOffset	false	false	false	false
parent	property	/en-US/docs/Web/API/Window/parent	false	false	false	false
performance	property	/en-US/docs/Web/API/Window/performance	false	false	false	false
personalbar	property	/en-US/docs/Web/API/Window/personalbar	false	false	false	false
pkcs11	property	/en-US/docs/Web/API/Window/pkcs11	false	false	true	false
screen	property	/en-US/docs/Web/API/Window/screen	false	false	false	false
screenLeft	property	/en-US/docs/Web/API/Window/screenLeft	false	false	false	false
screenTop	property	/en-US/docs/Web/API/Window/screenTop	false	false	false	false
screenX	property	/en-US/docs/Web/API/Window/screenX	false	false	false	false
screenY	property	/en-US/docs/Web/API/Window/screenY	false	false	false	false
scrollbars	property	/en-US/docs/Web/API/Window/scrollbars	false	false	false	false
scrollMaxX	property	/en-US/docs/Web/API/Window/scrollMaxX	false	true	false	false
scrollMaxY	property	/en-US/docs/Web/API/Window/scrollMaxY	false	true	false	false
scrollX	property	/en-US/docs/Web/API/Window/scrollX	false	false	false	false
scrollY	property	/en-US/docs/Web/API/Window/scrollY	false	false	false	false
self	property	/en-US/docs/Web/API/Window/self	false	false	false	false
sessionStorage	property	/en-US/docs/Web/API/Window/sessionStorage	false	false	false	false
sidebar	property	/en-US/docs/Web/API/Window/sidebar	false	true	false	false
speechSynthesis	property	/en-US/docs/Web/API/Window/speechSynthesis	true	false	false	false
